category_number,drxfcsd,level,parent,max_level_by_num,max_level_skips,ancestors,branch
11514340,"hot chocolate / cocoa, made with no sugar added dry mix and low fat milk",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11514340"
11514350,"hot chocolate / cocoa, made with no sugar added dry mix and fat free milk",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11514350"
11514360,"hot chocolate / cocoa, made with no sugar added dry mix and non-dairy milk",4,1404,4,4,"0,1404,1400,1","0,1404,1400,1,11514360"
11514500,"cocoa, whey, and low calorie sweetener, mixture, fortified, water added",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11514500"
11515100,"cocoa and sugar mixture fortified with vitamins and minerals, milk added, ns as to type of milk, puerto rican style",4,1202,4,4,"0,1202,1200,1","0,1202,1200,1,11515100"
11515400,"cocoa with nonfat dry milk and low calorie sweetener, high calcium, water added",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11515400"
11518000,"milk beverage with nonfat dry milk and low calorie sweetener, water added, chocolate",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11518000"
11518050,"milk beverage with nonfat dry milk and low calorie sweetener, water added, flavors other than chocolate",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11518050"
11518100,"milk beverage with nonfat dry milk and low calorie sweetener, high calcium, water added, chocolate",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11518100"
11519040,"strawberry milk, nfs",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11519040"
11519050,"strawberry milk, whole",4,1202,4,4,"0,1202,1200,1","0,1202,1200,1,11519050"
11519105,"strawberry milk, reduced fat",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11519105"
11519200,"strawberry milk, low fat",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11519200"
11519205,"strawberry milk, fat free",4,1208,4,4,"0,1208,1200,1","0,1208,1200,1,11519205"
11519210,"strawberry milk, reduced sugar",4,1206,4,4,"0,1206,1200,1","0,1206,1200,1,11519210"
11519215,"strawberry milk, non-dairy",4,1404,4,4,"0,1404,1400,1","0,1404,1400,1,11519215"
11520000,"milk, malted, unfortified, ns as to flavor, made with milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11520000"
11521000,"milk, malted, unfortified, chocolate, made with milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11521000"
11522000,"milk, malted, unfortified, natural flavor, made with milk",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11522000"
11526000,"milk, malted",4,1204,4,4,"0,1204,1200,1","0,1204,1200,1,11526000"
11531000,eggnog,4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11531000"
11541000,"milk shake, ns as to flavor or type",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11541000"
11541100,"milk shake, homemade or fountain-type, ns as to flavor",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11541100"
11541110,"milk shake, home recipe, chocolate",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11541110"
11541120,"milk shake, home recipe, flavors other than chocolate",4,1402,4,4,"0,1402,1400,1","0,1402,1400,1,11541120"
